"country","category","rss-url"
"US","sports","http://www.theguardian.com/sport/us-sport/rss"
"US","tech","http://www.huffingtonpost.com/feeds/verticals/technology/news.xml"
"US","tech","http://rss.cnn.com/rss/cnn_tech.rss"
"US","tech","http://rss.nytimes.com/services/xml/rss/nyt/Technology.xml"
"US","tech","http://feeds.foxnews.com/foxnews/tech"
"US","tech","http://feeds.feedburner.com/TechCrunch/"
"US","tech","http://feeds.wired.com/wired/index"
"US","tech","http://www.cnet.com/rss/news/"
"US","tech","http://www.cnet.com/rss/iphone-update/"
"US","tech","http://www.cnet.com/rss/android-update/"
"US","tech","http://www.npr.org/rss/rss.php?id=1019"
"US","tech","http://www.macworld.com/index.rss"
"US","tech","http://www.pcworld.com/index.rss"
"US","tech","http://www.engadget.com/rss.xml"
"US","tech","http://feeds.feedburner.com/techcrunch/startups?format=xml"
"US","tech","http://feeds.bizjournals.com/industry_7"
"US","tech","http://feeds.abcnews.com/abcnews/technologyheadlines"
"US","tech","http://www.buzzfeed.com/tech.xml"
"US","tech","http://feeds.webservice.techradar.com/us/rss/new"
"US","tech","http://feeds.arstechnica.com/arstechnica/gadgets"
"US","tech","http://www.computerweekly.com/rss/All-Computer-Weekly-content.xml"
"US","tech","http://time.com/tech/feed/"
"US","tech","http://rssfeeds.usatoday.com/usatoday-TechTopStories"
"US","tech","http://feeds.bbci.co.uk/news/technology/rss.xml"
"US","tech","http://www.techspot.com/backend.xml"
"US","tech","http://www.digitaltrends.com/feed/"
"US","tech","http://feeds2.feedburner.com/bit-tech/all"
"US","tech","http://feeds.arstechnica.com/arstechnica/technology-lab"
"US","tech","http://feeds.arstechnica.com/arstechnica/gadgets"
"US","tech","http://feeds.arstechnica.com/arstechnica/business"
"US","tech","http://www.informationweek.com/rss_simple.asp"
"US","tech","http://feeds.newscientist.com/tech"
"US","tech","http://feeds.nature.com/news/rss/news_s16"
"US","tech","http://www.technologyreview.com/stream/rss/"
"US","tech","http://www.techinsider.io/rss"
"US","tech","http://feeds.feedburner.com/IeeeSpectrumRoboticsChannel"
"US","entertainment","http://grantland.com/hollywood-prospectus/feed/"
"US","entertainment","http://feeds.feedburner.com/nymag/vulture"
"US","entertainment","http://www.newyorker.com/feed/culture"
"US","entertainment","http://www.buzzfeed.com/tvandmovies.xml"
"US","entertainment","http://rssfeeds.usatoday.com/usatoday-LifeTopStories"
"US","entertainment","http://www.tmz.com/rss.xml"
"US","entertainment","http://www.cbsnews.com/latest/rss/entertainment"
"US","entertainment","http://feeds.abcnews.com/abcnews/entertainmentheadlines"
"US","entertainment","http://www.huffingtonpost.com/feeds/verticals/entertainment/index.xml"
"US","entertainment","http://deadline.com/feed/"
"US","entertainment","http://feeds.nbcnews.com/feeds/todayentertainment"
"US","entertainment","http://rss.cnn.com/rss/cnn_showbiz.rss"
"US","entertainment","http://www.popsugar.com/feed"
"US","entertainment","http://www.esquire.com/blogs/culture/culture-rss"
"US","entertainment","http://news.yahoo.com/rss/entertainment"
