"pubDate","timestamp","title","description","link","rss-url","country","category"
"2022-09-19 00:16:44+05:30","1663526804.0","T.N. logs 492 fresh COVID-19 infections","No fresh case in three districts; 109 test positive in Chennai","https://www.thehindu.com/news/national/tamil-nadu/tn-logs-492-fresh-covid-19-infections/article65907082.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 00:16:44+05:30","1663526804.0","T.N. logs 492 fresh COVID-19 infections","No fresh case in three districts; 109 test positive in Chennai","https://www.thehindu.com/news/national/tamil-nadu/tn-logs-492-fresh-covid-19-infections/article65907082.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 00:13:42+05:30","1663526622.0","Weekly vaccination camps for antenatal, lactating women","‘The Health Department will conduct the camps every Wednesday in all its centres’","https://www.thehindu.com/news/national/tamil-nadu/weekly-vaccination-camps-for-antenatal-lactating-women/article65906682.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 00:13:42+05:30","1663526622.0","Weekly vaccination camps for antenatal, lactating women","‘The Health Department will conduct the camps every Wednesday in all its centres’","https://www.thehindu.com/news/national/tamil-nadu/weekly-vaccination-camps-for-antenatal-lactating-women/article65906682.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 00:10:47+05:30","1663526447.0","Destabilising Telangana government is next on BJP’s agenda: Yechury","‘Keep BJP away from power if India is to be saved as a secular democratic republic’","https://www.thehindu.com/news/national/telangana/destabilising-telangana-government-is-next-target-of-bjp-yechury/article65907142.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 00:10:47+05:30","1663526447.0","Destabilising Telangana government is next on BJP’s agenda: Yechury","‘Keep BJP away from power if India is to be saved as a secular democratic republic’","https://www.thehindu.com/news/national/telangana/destabilising-telangana-government-is-next-target-of-bjp-yechury/article65907142.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 23:39:55+05:30","1663524595.0","Diplomats pay tribute to Queen Elizabeth II at St. Mary’s Church","","https://www.thehindu.com/news/cities/chennai/diplomats-pay-tribute-to-queen-elizabeth-ii-at-st-marys-church/article65907341.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 23:39:55+05:30","1663524595.0","Diplomats pay tribute to Queen Elizabeth II at St. Mary’s Church","","https://www.thehindu.com/news/cities/chennai/diplomats-pay-tribute-to-queen-elizabeth-ii-at-st-marys-church/article65907341.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 23:33:56+05:30","1663524236.0","Vijayawada: Four arrested, 45 kg ganja seized","Three of the accused hail from Tamil Nadu, say police","https://www.thehindu.com/news/national/andhra-pradesh/vijayawada-four-arrested-45-kg-ganja-seized/article65907041.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 23:33:56+05:30","1663524236.0","Vijayawada: Four arrested, 45 kg ganja seized","Three of the accused hail from Tamil Nadu, say police","https://www.thehindu.com/news/national/andhra-pradesh/vijayawada-four-arrested-45-kg-ganja-seized/article65907041.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 23:27:15+05:30","1663523835.0","On Vidarbha tour, Raj Thackeray hints at MNS ‘going solo’ for civic polls","He tells party workers to to start an intensive campaigning for the civic poll","https://www.thehindu.com/news/national/other-states/on-vidarbha-tour-raj-thackeray-hints-at-mns-going-solo-for-civic-polls/article65906704.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 23:27:15+05:30","1663523835.0","On Vidarbha tour, Raj Thackeray hints at MNS ‘going solo’ for civic polls","He tells party workers to to start an intensive campaigning for the civic poll","https://www.thehindu.com/news/national/other-states/on-vidarbha-tour-raj-thackeray-hints-at-mns-going-solo-for-civic-polls/article65906704.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:29:22+05:30","1663520362.0","Explained | The process of inclusion or exclusion from the Scheduled Tribes list","Which are the new tribal groups on the list? How are they selected? What is the process?","https://www.thehindu.com/news/national/explained-the-process-of-inclusion-or-exclusion-from-the-scheduled-tribes-list/article65906246.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:29:22+05:30","1663520362.0","Explained | The process of inclusion or exclusion from the Scheduled Tribes list","Which are the new tribal groups on the list? How are they selected? What is the process?","https://www.thehindu.com/news/national/explained-the-process-of-inclusion-or-exclusion-from-the-scheduled-tribes-list/article65906246.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:26:54+05:30","1663520214.0","Vizhinjam: Tension prevails as fishermen, local residents stage protest in front of port","Civil police officer injured in melee","https://www.thehindu.com/news/national/kerala/vizhinjam-tension-prevails-as-fishermen-local-residents-stage-protest-in-front-of-port/article65907382.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:26:54+05:30","1663520214.0","Vizhinjam: Tension prevails as fishermen, local residents stage protest in front of port","Civil police officer injured in melee","https://www.thehindu.com/news/national/kerala/vizhinjam-tension-prevails-as-fishermen-local-residents-stage-protest-in-front-of-port/article65907382.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:22:52+05:30","1663519972.0","Man arrested for hacking wife, father-in-law","","https://www.thehindu.com/news/national/kerala/man-arrested-for-hacking-wife-father-in-law/article65906527.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:22:52+05:30","1663519972.0","Man arrested for hacking wife, father-in-law","","https://www.thehindu.com/news/national/kerala/man-arrested-for-hacking-wife-father-in-law/article65906527.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:22:33+05:30","1663519953.0","Isolated villages to get footbridges across Pampa","Steel Industrials Kerala Limited has prepared the estimates of footbridges","https://www.thehindu.com/news/national/kerala/isolated-villages-to-get-footbridges-across-pampa/article65906409.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:22:33+05:30","1663519953.0","Isolated villages to get footbridges across Pampa","Steel Industrials Kerala Limited has prepared the estimates of footbridges","https://www.thehindu.com/news/national/kerala/isolated-villages-to-get-footbridges-across-pampa/article65906409.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:22:20+05:30","1663519940.0","Students and parents complain of poor quality uniform cloths being distributed this year","They say the cloths are too thin and transparent","https://www.thehindu.com/news/national/karnataka/students-and-parents-complain-of-poor-quality-uniform-cloths-being-distributed-this-year/article65906972.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:22:20+05:30","1663519940.0","Students and parents complain of poor quality uniform cloths being distributed this year","They say the cloths are too thin and transparent","https://www.thehindu.com/news/national/karnataka/students-and-parents-complain-of-poor-quality-uniform-cloths-being-distributed-this-year/article65906972.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:21:40+05:30","1663519900.0","Five lakh handbooks to be distributed as part of constitution literacy campaign","","https://www.thehindu.com/news/national/kerala/five-lakh-handbooks-to-be-distributed-as-part-of-constitution-literacy-campaign/article65906255.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:21:40+05:30","1663519900.0","Five lakh handbooks to be distributed as part of constitution literacy campaign","","https://www.thehindu.com/news/national/kerala/five-lakh-handbooks-to-be-distributed-as-part-of-constitution-literacy-campaign/article65906255.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:21:22+05:30","1663519882.0","Pampady completes mapping of water bodies","","https://www.thehindu.com/news/national/kerala/pampady-completes-mapping-of-water-bodies/article65906419.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:21:22+05:30","1663519882.0","Pampady completes mapping of water bodies","","https://www.thehindu.com/news/national/kerala/pampady-completes-mapping-of-water-bodies/article65906419.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:15:46+05:30","1663519546.0","Always stand in the support of oppressed, Red Army told","Two-day training programme for members comes to close in Tirupati","https://www.thehindu.com/news/national/andhra-pradesh/always-stand-in-the-support-of-oppressed-red-army-told/article65906905.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-18 22:15:46+05:30","1663519546.0","Always stand in the support of oppressed, Red Army told","Two-day training programme for members comes to close in Tirupati","https://www.thehindu.com/news/national/andhra-pradesh/always-stand-in-the-support-of-oppressed-red-army-told/article65906905.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-18 22:13:09+05:30","1663519389.0","Andhra Pradesh: Kadapa police crack ATM theft case within hours, arrest one","₹53 lakh cash recovered from a car at Karnataka border","https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-kadapa-police-crack-atm-theft-case-within-hours-arrest-one/article65906834.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
